Incident # ,County ,FireName ,StartDate,EndDate,Acres Burned ,VegType ,Cause ,StructureDest. ,StructureDam. ,FirePersonnelDeath,CivilDeath
NEU-11799 ,PLACER ,AMORUSO ,6/1/20,6/1/20,670,G  ,EQUIPMENT USE ,  ,  ,  ,  
LNU-8419 ,SOLANO ,QUAIL ,6/6/20,6/13/20,"1,837", T  ,FIREARMS ,5,12,  ,  
SLU-7149 ,SAN LUIS OBISPO ,SODA ,6/10/20,6/10/20,"1,680", G  ,VEHICLE ,  ,  ,  ,  
VNC-45530 ,VENTURA ,ELIZABETH ,6/10/20,6/12/20,300,B ,UNDETERMINED ,  ,  ,  ,  
VNC-45754 ,VENTURA ,LIME ,6/10/20,6/16/20,803,"B, G  ",UNDETERMINED ,  ,  ,  ,  
AEU-16543 ,SACRAMENTO ,GRANT ,6/12/20,6/19/20,"5,042", G  ,EQUIPMENT USE ,  ,1,  ,  
SBC-12322 ,SANTA BARBARA ,DRUM ,6/14/20,6/17/20,696,"B, G  ",ELECTRICAL POWER ,  ,  ,  ,  
FKU-8094 ,FRESNO ,EAGLE ,6/15/20,6/13/20,300,G  ,UNDETERMINED ,  ,  ,  ,  
SLU-7409 ,SAN LUIS OBISPO ,AVILA ,6/15/20,6/20/20,445,"B, G  ",UNDER INVESTIGATION ,  ,1,  ,  
BEU-2847 ,SAN BENITO ,BITTER ,6/16/20,6/20/20,813,"B, G  ",VEHICLE ,  ,  ,  ,  
TCU-6494 ,CALAVERAS ,WALKER ,6/16/20,6/21/20,"1,455"," B, G  ", EQUIPMENT USE ,2,2,  ,  
BEU-2986 ,MONTEREY ,RICO ,6/22/20,6/23/20,348,G  ,ELECTRICAL POWER ,  ,  ,  ,  
TUU-298 ,TULARE ,GRADE ,6/22/20,6/25/20,"1,050", G  ,UNDER INVESTIGATION ,  ,  ,  ,  
MMU-13431 ,MERCED ,PASS ,6/28/20,6/30/20,"2,192"," B, G  ",ELECTRICAL POWER ,  ,  ,  ,  
KRN-27271 ,KERN ,BENA ,7/1/20,7/5/20,"4,000"," B, G  ",EQUIPMENT USE ,  ,  ,  ,  
MMU-13801 ,MADERA ,BONADELLE ,7/2/20,7/3/20,500,G  ,EQUIPMENT USE ,  ,  ,  ,  
SCU-4669 ,SANTA CLARA ,PARK ,7/4/20,7/8/20,353,"B, G  ",PLAYING WITH FIRE ,  ,  ,  ,  
SLU-8435 ,SAN LUIS OBISPO ,LAKE ,7/4/20,7/5/20,583,G  ,VEHICLE ,1,  ,  ,  
LAC-197926 ,LOS ANGELES ,SOLEDAD ,7/5/20,7/6/20,"1,525"," B, G  ",MISCELLANEOUS ,  ,  ,  ,  
SCU-4686 ,SANTA CLARA ,CREWS ,7/5/20,7/20/20,"5,513"," B, G  ",ELECTRICAL POWER ,4,  ,  ,  
FKU-10219 ,FRESNO ,MINERAL ,7/13/20,7/26/20,"29,667"," B, G  ",STRUCTURE ,7,  ,  ,  
BEU-3441 ,SAN BENITO ,COYOTE ,7/15/20,7/18/20,"1,485"," B, G  ",UNDER INVESTIGATION ,1,  ,  ,  
LMU-3874 ,LASSEN ,HOG ,7/18/20,8/28/20,"9,564", T  ,UNDER INVESTIGATION ,2,  ,  ,  
SKU-5356 ,SISKIYOU ,BADGER ,7/18/20,7/28/20,557,"B, G, T  ",VEHICLE ,  ,  ,  ,  
SHU-7049 ,SHASTA ,PLATINA ,7/19/20,7/27/20,333,"B, G  ",DEBRIS BURNING ,  ,  ,  ,  
LMU-3917 ,LASSEN ,GOLD ,7/20/20,9/29/20,"22,614"," B, T  ",UNDETERMINED ,13,5,  ,  
FKU-10922 ,FRESNO ,WILD ,7/25/20,7/25/20,"1,040", G  ,ARSON ,  ,  ,  ,  
LAC-222638 ,LOS ANGELES ,RIDGE ,7/27/20,7/27/20,321,"B, G, T  ",UNDETERMINED ,  ,  ,  ,  
MMU-16043 ,MERCED ,COTTONWOOD ,7/27/20,7/29/20,788,G  ,VEHICLE ,  ,  ,  ,  
SLU-9669 ,SAN LUIS OBISPO ,BRANCH ,7/28/20,8/3/20,"3,222", G  ,VEHICLE ,8,  ,  ,  
AEU-22430 ,SACRAMENTO ,CLAY ,7/29/20,7/29/20,741,G  ,SMOKING ,  ,  ,  ,  
FKU-11181 ,FRESNO ,LINCOLN ,7/29/20,7/29/20,640,G  ,ARSON ,  ,  ,  ,  
RRU-96640* ,RIVERSIDE ,APPLE ,7/31/20,11/18/20,"33,424"," B, G  ",VEHICLE ,13,6,  ,  
SLU-9866 ,SAN LUIS OBISPO ,POND ,8/1/20,8/9/20,"2,005"," B, G  ",STRUCTURE ,4,1,  ,  
LNU-12277 ,COLUSA ,SITES ,8/2/20,8/6/20,560,"B, T  ",UNDER INVESTIGATION ,1,1,  ,  
SLU-10018 ,SAN LUIS OBISPO ,PASS ,8/4/20,8/5/20,322,G  ,VEHICLE ,  ,  ,  ,  
AEU-24350 ,SACRAMENTO ,MEISS ,8/13/20,8/15/20,512,G  ,FIREARMS ,  ,  ,  ,  
FKU-12279 ,FRESNO ,HILLS ,8/15/20,9/27/20,"2,121"," B, G  ",LIGHTNING ,  ,  ,1,  
SLU-10533 ,SAN LUIS OBISPO ,WHALE ,8/15/20,8/18/20,320,G  ,LIGHTNING ,  ,  ,  ,  
BEU-4024 ,MONTEREY ,RIVER ,8/16/20,9/4/20,"48,088"," B, G  ",LIGHTNING ,30,13,  ,  
CZU-5205* ,"SAN MATEO, SANTA CRUZ ",CZU AUGUST LIGHTNING  COMPLEX ,8/16/20,9/22/20,"86,509"," B, T  ",LIGHTNING ,"1,490",140,  ,1
SCU-5740* ,"CONTRA COSTA, SANTA CLARA,  ",SCU LIGHTNING COMPLEX ,8/16/20,9/15/20,"396,625"," B, G  ",LIGHTNING ,225,26,  ,  
,"ALAMEDA, SAN JOAQUIN, ",,,,,,,,,,
,STANISLAUS ,,,,,,,,,,
BTU-9979* ,"BUTTE, TEHAMA, GLENN ",BUTTE TEHAMA GLENN COMPLEX ,8/17/20,9/16/20,"19,609", T  ,LIGHTNING ,  ,  ,  ,  
LNU-13407* ,"NAPA, LAKE, SONOMA, SOLANO ",LNU LIGHTNING COMPLEX ,8/17/20,9/22/20,"363,220"," B, G, T  ",LIGHTNING ,"1,491",232,  ,5
MEU-10843* ,"TRINITY, TEHAMA, GLENN, LAKE, ",AUGUST COMPLEX WEST ZONE ,8/17/20,10/15/20,"143,181"," B, G, T  ",LIGHTNING ,55,6,  ,  
,MENDOCINO ,,,,,,,,,,
NEU-19231 ,NEVADA ,JONES ,8/17/20,9/6/20,705,"B, T  ",LIGHTNING ,18,3,  ,  
VNC-30441 LAC-246170 ,"VENTURA, LOS ANGELES ",HOLSER ,8/17/20,8/22/20,"2,189"," B, G  ",EQUIPMENT USE ,  ,  ,  ,  
BEU-4081 ,MONTEREY ,CARMEL ,8/18/20,9/6/20,"6,901"," B, G  ",VEHICLE ,73,7,  ,  
MEU-9786 ,MENDOCINO ,CREEK ,8/18/20,8/26/20,820,"B, G  ",VEHICLE ,3,  ,  ,  
TCU-9353 ,CALAVERAS ,SALT ,8/18/20,8/24/20,"1,783"," B, G  ",EQUIPMENT USE ,  ,  ,  ,  
TCU-9457 ,TUOLUMNE ,MOC ,8/20/20,8/31/20,"2,857"," B, G  ",EQUIPMENT USE ,2,1,  ,  
MMU-19014 ,MADERA ,HENSLEY #2 ,8/30/20,8/30/20,400,G  ,ARSON ,  ,  ,  ,  
BDU-12925 ,SAN BERNARDINO ,EL DORADO ,9/5/20,11/16/20,"22,744"," B, G, T  ",PYROTECHNICS ,14,2,1,  
MEU-10700 ,MENDOCINO ,OAK ,9/7/20,9/25/20,"1,100"," G, T  ",STRUCTURE ,56,1,  ,  
NEU-21423 ,YUBA ,WILLOW ,9/9/20,9/9/20,"1,311"," B, G, T  ",ARSON ,11,5,  ,  
RRU-119353 ,RIVERSIDE ,SNOW ,9/17/20,9/24/20,"6,254"," B, G, T  ",VEHICLE ,  ,  ,  ,  
LNU-15947* ,"NAPA, SONOMA ",GLASS ,9/27/20,10/20/20,"67,484"," B, G, T  ",UNDETERMINED ,"1,528",282,  ,  
SHU-9978* ,SHASTA ,ZOGG ,9/27/20,10/14/20,"56,338"," B, G  ",ELECTRICAL POWER ,204,27,  ,4
RRU-124873 ,RIVERSIDE ,CANDY ,9/29/20,9/30/20,454,G  ,ARSON ,  ,  ,  ,  
ORC-121364 ,ORANGE ,SILVERADO ,10/26/20,11/7/20,"12,466"," B, G  ",UNDER INVESTIGATION ,5,11,  ,  
ORC-121612 ,ORANGE ,BLUE RIDGE ,10/26/20,11/7/20,"13,694"," B, G  ",UNDETERMINED ,1,12,  ,  
ORC-136890 ,ORANGE ,BOND ,12/2/20,12/11/20,"6,686"," B, G  ",STRUCTURE ,31,21,  ,  
RRU-160421 ,RIVERSIDE ,SANDERSON ,12/13/20,12/13/20,"1,954", G  ,CAMPFIRE ,  ,  ,  ,  
,,,,,,,,,,,